"id","code","name","value","percent","type","type_arancel","value_type"
"ecua_foreign_purchase.aran_001","ADV0","ARANCEL ADVALOREM 0%",0,0,"arancel","adv","percent"
"ecua_foreign_purchase.aran_002","ADV1","ARANCEL ADVALOREM 1%",0,1,"arancel","adv","percent"
"ecua_foreign_purchase.aran_003","ADV5","ARANCEL ADVALOREM 5%",0,5,"arancel","adv","percent"
"ecua_foreign_purchase.aran_004","ADV10","ARANCEL ADVALOREM 10%",0,10,"arancel","adv","percent"
"ecua_foreign_purchase.aran_005","ADV15","ARANCEL ADVALOREM 15%",0,15,"arancel","adv","percent"
"ecua_foreign_purchase.aran_006","ADV20","ARANCEL ADVALOREM 20%",0,20,"arancel","adv","percent"
"ecua_foreign_purchase.aran_007","ADV25","ARANCEL ADVALOREM 25%",0,25,"arancel","adv","percent"
"ecua_foreign_purchase.aran_008","ADV30","ARANCEL ADVALOREM 30%",0,30,"arancel","adv","percent"
"ecua_foreign_purchase.aran_009","ADV35","ARANCEL ADVALOREM 35%",0,35,"arancel","adv","percent"
"ecua_foreign_purchase.aran_010","ADV40","ARANCEL ADVALOREM 40%",0,40,"arancel","adv","percent"
"ecua_foreign_purchase.aran_011","ADV50","ARANCEL ADVALOREM 50%",0,50,"arancel","adv","percent"
"ecua_foreign_purchase.aran_012","ADV75","ARANCEL ADVALOREM 75%",0,75,"arancel","adv","percent"
"ecua_foreign_purchase.aran_013","ADV85","ARANCEL ADVALOREM 85%",0,85,"arancel","adv","percent"
"ecua_foreign_purchase.aran_014","AD","ANTIDUMPING",0,0,"arancel","antidumping","fix"
"ecua_foreign_purchase.aran_015","ADVICE","ICE ADVALOREM 0",0,0,"recargo","adv","percent"
"ecua_foreign_purchase.aran_016","FODINFA","FODINFA 0.5%",0,0.5,"recargo","fodinfa","percent"
"ecua_foreign_purchase.aran_017","SPC10","ARANCEL ESPECIFICO 10",10,0,"arancel","advspe","fix"
"ecua_foreign_purchase.aran_018","SPCICE","ICE ESPECIFICO 0",0,0,"recargo","advspe","fix"
"ecua_foreign_purchase.aran_019","SVGADV","SALVAGUARDIA ADVALOREM",0,0,"arancel","svg","fix"
"ecua_foreign_purchase.aran_020","SVGESP","SALVAGUARDIA ESPECIFICO",0,0,"arancel","svgesp","fix"
"ecua_foreign_purchase.aran_022","ADV17","ARANCEL ADVALOREM 17%",0,17,"arancel","adv","percent"
"ecua_foreign_purchase.aran_023","ADV67.5","ARANCEL ADVALOREM 67.5%",0,"67.5","arancel","adv","percent"
"ecua_foreign_purchase.aran_024","ADV36","ARANCEL ADVALOREM 36%",0,36,"arancel","adv","percent"
"ecua_foreign_purchase.aran_025","ADV31.5","ARANCEL ADVALOREM 31.5%",0,"31.5","arancel","adv","percent"
"ecua_foreign_purchase.aran_026","ADV45","ARANCEL ADVALOREM 45%",0,45,"arancel","adv","percent"
"ecua_foreign_purchase.aran_027","ADV85.5","ARANCEL ADVALOREM 85.5%",0,"85.5","arancel","adv","percent"
"ecua_foreign_purchase.aran_028","ADV54","ARANCEL ADVALOREM 54%",0,54,"arancel","adv","percent"
"ecua_foreign_purchase.aran_029","ADV3","ARANCEL ADVALOREM 3%",0,3,"arancel","adv","percent"
"ecua_foreign_purchase.aran_030","ADV112.81","ARANCEL ADVALOREM 112.81%",0,"112.81","arancel","adv","percent"
